"ID","NAME"
1,"Wrocław"
21,"Łęczna"
349,"Katowice"
350,"Ostrów Wielkopolski"
351,"Staszów"
352,"Sanok"
353,"Bełchatów"
354,"Gdańsk"
355,"Elbląg"
356,"Andrespol"
357,"Siedlce"
358,"Zielonki "
359,"Ruda Śląska"
360,"Słońsk"
361,"Szczecin"
362,"Tychy"
363,"Gdynia"
364,"Otwock"
365,"Stargard"
366,"Miedziana Góra "
367,"Bełchatów"
368,"Krasnystaw"
369,"Augustów"
370,"Miedziana Góra "
371,"Hajnówka"
372,"Lubartów"
373,"Tłuszcz"
374,"Bytom"
375,"Małkinia Górna "
376,"Końskie"
377,"Nowy Sącz"
378,"Konin"
379,"Namysłów"
380,"Krasnystaw"
381,"Zgierz"
382,"Sandomierz"
383,"Kalisz"
384,"Tarnów"
385,"Białystok"
386,"Szczecin"
387,"Sieradz"
388,"Włocławek"
389,"Sosnowiec"
390,"Chojnice"
391,"Prudnik"
392,"Bydgoszcz"
393,"Płock"
394,"Rumia"
395,"Tarnów"
396,"Tarnów"
397,"Kostrzyn"
398,"Iława"
399,"Słubice"
400,"Bielsk Podlaski"
401,"Toruń"
402,"Radomsko"
403,"Bielsko-Biała"
404,"Elbląg"
405,"Bieliny"
406,"Skierniewice"
407,"Brzeg"
408,"Kurzętnik  "
409,"Szczecin"
410,"Bytom"
411,"Rypin "
412,"Świdnica"
413,"Biała Podlaska"
414,"Tczew"
415,"Police"
416,"Rypin "
417,"Tomaszów Mazowiecki"
418,"Rokietnica  "
419,"Chrzanów"
420,"Rawicz"
421,"Tomaszów Mazowiecki"
422,"Dęblin"
423,"Wieliczka"
424,"Gorzyce  "
425,"Słupsk"
426,"Olesno"
427,"Kętrzyn"
428,"Kozy  "
429,"Gdynia"
430,"Legnica"
431,"Ruda Śląska"
432,"Kielce"
433,"Konin"
434,"Bolesławiec"
435,"Unisław "
436,"Mońki"
437,"Międzyrzecz"
438,"Pawłowice"
439,"Działdowo"
440,"Legionowo"
441,"Gdańsk"
442,"Zambrów"
443,"Wałbrzych"
444,"Kętrzyn"
445,"Ostróda"
446,"Gródek "
447,"Miedziana Góra "
448,"Koszalin"
449,"Bolesławiec"
450,"Dobrzeń Wielki "
451,"Nakło nad Notecią"
452,"Płock"
453,"Dębica"
454,"Małkinia Górna "
455,"Lisia Góra "
456,"Kluczbork"
